SAP Num,Manufacturer part no.,Base model code,Processor,Memory,HDD,Graphics,Mouse and Trackpad,Keyboard Options,VESA Mount,Power,Colour,Stock,ALP,DAC
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,256GB Flash/SSD Storage,Intel Iris Plus Graphics 640,Magic TrackPad 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1249.17,1212.92
4855785,Z0TH_2000365433_CTO,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,256GB Flash/SSD Storage,Intel Iris Plus Graphics 640,Magic Mouse 2 & Magic Trackpad Bundle,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1281.67,1245
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,256GB Flash/SSD Storage,Intel Iris Plus Graphics 640,Magic Mouse 2 & Magic Trackpad Bundle,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1315,1277.08
5134862,MRQY2B/A,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,1TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1457.5,1414
5422766,Z0VU_2000454479_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,1TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1490.83,1446.08
5135209,Z0VQ_2000419261_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,1TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1499.17,1454.1
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,1TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1532.5,1486.18
5143072,Z0VQ_16_UK_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,1TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2 + Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1565,1518.26
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,1TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2 + Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1598.33,1550.34
5148101,Z0VQ_2000413443_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,2TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1607.5,1560.37
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,2TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1640.83,1592.45
5143077,Z0VQ_2000425166_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,2TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1649.17,1600.47
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,2TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1682.5,1632.55
5143078,Z0VQ_22_UK_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,2TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2 + Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1715,1664.63
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,2TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2 + Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1748.33,1696.71
5148102,Z0VQ_2000413444_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,256GB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,2,1532.5,1487.18
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,256GB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1565.83,1519.26
5143079,Z0VQ_2000436518_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,256GB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1574.17,1527.28
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,256GB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1607.5,1559.36
5143080,Z0VQ_2000440692_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,256GB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2 + Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1640,1591.44
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,256GB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2 + Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1673.33,1623.52
5148103,Z0VQ_2000413445_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,512GB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1682.5,1632.55
5356642,Z0VU_2000439675_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,512GB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1715.83,1664.63
