SAP Num,Manufacturer part no.,Base model code,Processor,Memory,HDD,Graphics,Mouse and Trackpad,Keyboard Options,Power,Colour,Stock,ALP,DAC
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5031.67,4882.31
4573714,Z0UR_2000332490_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4682.5,4543.46
4573883,Z0UR_2000334100_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4724.17,4583.56
4573884,Z0UR_2000334101_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4806.67,4663.76
4573750,Z0UR_2000332184_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5095,4944.46
4573812,Z0UR_2000333334_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5136.67,4984.56
4573813,Z0UR_2000333333_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5219.17,5064.76
5487555,Z0UR_2000469763_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5207.5,5053.74
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5249.17,5093.84
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5331.67,5174.04
