"SAP Num","Manufacturer part no.","Base model code","Processor","Memory","HDD","Graphics","Keyboard Options","Power","Colour","Stock","ALP","DAC"
5512860,"Z0XZ_2000475772_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","32GB 2666MHz DDR4 memory","4TB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3199.17,3041.85
5512933,"Z0XZ_60_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","32GB 2666MHz DDR4 memory","4TB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3274.17,3113.03
5512971,"Z0XZ_68_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","32GB 2666MHz DDR4 memory","4TB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3349.17,3185.21
5512890,"Z0XZ_45_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","32GB 2666MHz DDR4 memory","8TB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,4099.17,3899
5512934,"Z0XZ_61_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","32GB 2666MHz DDR4 memory","8TB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,4174.17,3970.18
5512972,"Z0XZ_69_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","32GB 2666MHz DDR4 memory","8TB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,4249.17,4042.36
5512706,"Z0XZ_2000480657_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","64GB 2666MHz DDR4 memory","512GB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2599.17,2470.43
5512738,"Z0XZ_11_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","64GB 2666MHz DDR4 memory","512GB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2674.17,2541.61
5512740,"Z0XZ_2000481326_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","64GB 2666MHz DDR4 memory","512GB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2749.17,2613.79
5512891,"Z0XZ_46_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","64GB 2666MHz DDR4 memory","1TB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2749.17,2613.79
